Old Name,New Name,Approve (Y/N),Notes
Coconut oil,coconut,,
Coconut Oil,coconut,,
Cod liver oil,cod liver,,
Cod Liver Oil,cod liver,,
Collagen (Marine),collagen,,
Collagen Type 2,collagen type,,
Collagen Type 2 Complex,collagen type complex,,
Collalift 18,collalift,,
Colostrum Powder,colostrum,,
Conjugated linoleic acid (CLA),conjugated linoleic acid,,
Copolyol-L silicone,copolyol l silicone,,
Coriander Herb Oil,coriander herb,,
Coriander Oil,coriander,,
Corn Germ Oil,corn germ,,
Corn oil,corn,,
Corn Oil,corn,,
Cumin Seed Oil,cumin,,
Curcuma Longa Root Oil,curcuma longa,,
Curcuma oil,curcuma,,
Curcumin oil,curcumin,,
Cyclo-Taurolidine,cyclo taurolidine,,
D-Aspartic Acid,d aspartic acid,,
D-calcium glucarate,d calcium glucarate,,
D-chiro-inositol,d chiro inositol,,
D-CHIRO-INOSITOL,d chiro inositol,,
D-Chiro Inositol,d chiro inositol,,
D-chiroinositol,d chiroinositol,,
D-Mannose,d mannose,,
D-panthenol,d panthenol,,
D-Panthenol,d panthenol,,
D-Tubocurarine,d tubocurarine,,
Deodorized Fish Oil,deodorized fish,,
Devil,devil s claw,,
Dexamethasone 0.125%,dexamethasone,,
Dextran 40,dextran,,
DHA fish oil,dha fish,,
Di-iodohydroxyquinoline,di iodohydroxyquinoline,,
Dill oil,dill,,
Dill Oil,dill,,
Dill seed,dill,,
Dill Seed,dill,,
Dill seed oil,dill,,
Dipyrone (Metamizole),dipyrone,,
DL-threonine,dl threonine,,
DPP-IV,dpp iv,,
Dr.Ey.T,dr ey t,,
Dried Garlic Powder,dried garlic,,
Elix-ir,elix ir,,
Emla Oil,emla,,
Emu oil,emu,,
Emu Oil,emu,,
Energy & focus complex,energy focus complex,,
English ivy leaf,english ivy,,
EPA (Omega 3),epa,,
Equlyptus oil,equlyptus,,
Eruca leaves,eruca,,
Eruca oil,eruca,,
Eruca Oil,eruca,,
Eruca sativa oil,eruca sativa,,
Eruca Sativa Oil,eruca sativa,,
Erythropoietin-alpha,erythropoietin alpha,,
Erythropoietin-beta,erythropoietin beta,,
Ethyl esters of iodized fatty acids of poppy seed oil,ethyl esters of iodized fatty acids of poppy,,
Eucalyptus globulus essential oil,eucalyptus globulus essential,,
Eucalyptus globulus leaf,eucalyptus globulus,,
Eucalyptus globulus leaf oil,eucalyptus globulus,,
Eucalyptus Globulus Leaf Oil (Eucalyptus),eucalyptus globulus,,
Eucalyptus globulus oil,eucalyptus globulus,,
Eucalyptus globus leaf oil,eucalyptus globulus,,
Eucalyptus Leaf Oil,eucalyptus,,
Eucalyptus oil,eucalyptus,,
Eucalyptus Oil,eucalyptus,,
Eucoluptes oil,eucoluptes,,
Eugenia caryophyllus flower oil,eugenia caryophyllus,,
Eugenia Caryophyllus Leaf Oil,eugenia caryophyllus,,
Eugenol oil,eugenol,,
Eugenol Oil,eugenol,,
Eurica oil,eurica,,
Evening primrose oil,evening primrose,,
Evening Primrose Oil,evening primrose,,
Extract cepae fluid,cepae fluid,,
Extract free from calves blood,free from calves blood,,
Extract of Deep Sea Fish,of deep sea fish,,
Extrapone-5-special,extrapone special,,
Eye bright oil,eye bright,,
Fennel fruit,fennel,,
Fennel oil,fennel,,
Fennel Oil,fennel,,
Fennel seed,fennel,,
Fenugreek oil,fenugreek,,
Fish oil,fish,,
Fish Oil,fish,,
Flax oil,flax,,
Flax seed ext.,flax,,
Flax seed oil,flax,,
Flaxseed oil,flaxseed,,
Flaxseed oil powder,flaxseed,,
Flower Pollen,pollen,,
Follicle-Stimulating Hormone,follicle stimulating hormone,,
Follitropin (recombinant FSH),follitropin,,
Formamol-piperazine-lithium carbonate,formamol piperazine lithium carbonate,,
Fructo-oligosaccharide,fructo oligosaccharide,,
Fruit Concentrate,concentrate,,
Fruit Mix,mix,,
Fruit pastillia,pastillia,,
Full Cream Milk Powder,full cream milk,,
G-boosting complex,g boosting complex,,
G.S.,g s,,
GABA (gamma-aminobutyric acid),gaba,,
Gamma-linolenic acid,gamma linolenic acid,,
Gamma-Linolenic Acid,gamma linolenic acid,,
Garden cress seed oil,garden cress,,
Garlic oil,garlic,,
Garlic Oil,garlic,,
Gaultheria oil,gaultheria,,
Gel base,base,,
Gentian root,gentian,,
Geranium oil,geranium,,
Geranium Oil,geranium,,
Germ Oil,germ,,
Ginger oil,ginger,,
Ginger Oil,ginger,,
Ginger powder,ginger,,
Ginger root,ginger,,
Ginseng oil,ginseng,,
Ginseng root,ginseng,,
Glatheria Oil,gaultheria,,
Glautheria Oil,gaultheria,,
Glucose (dextrose),glucose,,
Glycine Soja Oil,glycine soja,,
Goat milk based formula stage 1,goat milk based formula stage,,
Goat milk based formula stage 2,goat milk based formula stage,,
Goat milk based formula stage 3,goat milk based formula stage,,
Gogoba Oil,gogoba,,
Goldenseal root,goldenseal,,
Graecum seed oil,graecum,,
Granulocyte macrophage colony-stimulating factor,granulocyte macrophage colony stimulating factor,,
Grape Seed,grape,,
Grape seed oil,grape,,
Grape Seed Oil,grape,,
Grape seeds,grapeseed,,
Grapeseed oil,grapeseed,,
Green magma organic powder,green magma organic,,
Green tea leaves,green tea,,
Green Tea Leaves,green tea,,
Green tea oil,green tea,,
Green Tea Oil,green tea,,
Guava leaf,guava,,
Guava leaves,guava,,
H-Vit active multi-complex,h vit active multi complex,,
Hair dream oil,hair dream,,
Hair oil,hair,,
Halibut liver oil,halibut liver,,
Hartmann,hartmann s solution,,
Hazelnut oil,hazelnut,,
Helianthus Annuus Oil,helianthus annuus,,
Hempseed oil,hempseed,,
High protein drink powder,high protein drink,,
Horse-Chestnut,horse chestnut,,
Hydro-Active Colloid Formulation,hydro active colloid formulation,,
Hydroactive Gel,hydroactive,,
Hydrogenated avocado oil,hydrogenated avocado,,
Hydrogenated castor oil,hydrogenated castor,,
Hydrogenated Castor Oil,hydrogenated castor,,
Hydrogenated Jojoba Oil,hydrogenated jojoba,,
Hydrogenated oil (unspecified),hydrogenated,,
Hydrogenated Olive Oil,hydrogenated olive,,
Hydrogenated wheat germ oil,hydrogenated wheat germ,,
Hydrolyzed Collagen (Marine),hydrolyzed collagen,,
Hydrolyzed Elastin (Marine),hydrolyzed elastin,,
Hydrolyzed Type 2 Collagen,hydrolyzed type collagen,,
Indian senna leaves,indian senna,,
Interferon alfa-2a,interferon alfa a,,
Interferon alfa-2b,interferon alfa b,,
Interferon beta-1a,interferon beta a,,
Interferon beta-1b,interferon beta b,,
Intra-articular hyaluronic acid,intra articular hyaluronic acid,,
Iplant olive oil,iplant olive,,
Iplant Olive Oil,iplant olive,,
Iso-butane,iso butane,,
Ivy leaf,ivy,,
Ivy Leaf,ivy,,
Ivy leaves,ivy,,
Ivy Leaves,ivy,,
Jasmine oil,jasmine,,
Jasmine Oil,jasmine,,
Jojoba oil,jojoba,,
Jojoba Oil,jojoba,,
Juniper Oil,juniper,,
Keratin oil,keratin,,
Krill Oil,krill,,
L-alanine,l alanine,,
L-alanyl-L-glutamine,l alanyl l glutamine,,
L-arginine,l arginine,,
L-Arginine,l arginine,,
L-aspartate,l aspartate,,
L-carnitine,l carnitine,,
L-Carnitine,l carnitine,,
L-carnitine fumarate,l carnitine fumarate,,
L-citrulline,l citrulline,,
L-cysteine,l cysteine,,
L-Cysteine,l cysteine,,
L-cystine,l cystine,,
L-Cystine,l cystine,,
L-glutamine,l glutamine,,
L-Glutamine,l glutamine,,
L-glutathione,l glutathione,,
L-glycine,l glycine,,
L-histidine,l histidine,,
L-isoleucine,l isoleucine,,
L-leucine,l leucine,,
L-Leucine,l leucine,,
L-lysine,l lysine,,
L-Lysine,l lysine,,
L-lysine acetate,l lysine acetate,,
L-Lysine HCL,l lysine hcl,,
L-methionine,l methionine,,
L-Methionine,l methionine,,
L-methylfolate,l methylfolate,,
L-ornithine-L-aspartate,l ornithine l aspartate,,
L-ornithine HCl,l ornithine hcl,,
L-phenylalanine,l phenylalanine,,
L-taurine,l taurine,,
L-theanine,l theanine,,
L-threonine,l threonine,,
L-tryptophan,l tryptophan,,
L-tyrosine,l tyrosine,,
L-Tyrosine,l tyrosine,,
L-valine,l valine,,
Lactic acid-lactoserum,lactic acid lactoserum,,
Lactic acid-salicylic acid,lactic acid salicylic acid,,
Lacto-serum,lacto serum,,
Laureth 3,laureth,,
Lavandula angustifolia oil,lavandula angustifolia,,
Lavender oil,lavender,,
Lavender Oil,lavender,,
Lecithin powder,lecithin,,
Lemon fruit oil,lemon,,
Lemon oil,lemon,,
Lemon Oil,lemon,,
Lemongrass oil,lemongrass,,
Lemongrass Oil,lemongrass,,
Leptospermum petersonii oil,leptospermum petersonii,,
Lettuce seed oil,lettuce,,
Lexol 300,lexol,,
Licorice ext,licorice,,
Licorice root,licorice,,
Lignin-saponin,lignin saponin,,
Linseed oil,linseed,,
Linseed Oil,linseed,,
Lipo-Tropics,lipo tropics,,
Liquid paraffin oil,liquid paraffin,,
Liquorice root,liquorice,,
Liver oil,liver,,
Lotus oil,lotus,,
Macadamia Oil,macadamia,,
Macrogol 3350,macrogol,,
Macrogol 4000,macrogol,,
Maize oil,maize,,
Marshmallow root,marshmallow,,
Marshmallow Root,marshmallow,,
Marshmallow root liquid,marshmallow liquid,,
Marula oil,marula,,
Marula Oil,marula,,
Matrixyl 3000,matrixyl,,
MEA-sulphosuccinate,mea sulphosuccinate,,
Measles-mumps-rubella,measles mumps rubella,,
Measles-Mumps-Rubella Vaccine,measles mumps rubella vaccine,,
Medical carpobol-tritanol-edta,medical carpobol tritanol edta,,
Medical grade polymerized siloxanes (silicone gel),medical grade polymerized siloxanes,,
Mega calm 120ml,mega calm,,
Melaleuca alternifolia leaf oil,melaleuca alternifolia,,
Melaleuca ericifolia oil,melaleuca ericifolia,,
Melissa Officinalis Oil,melissa officinalis,,
Meningitidis groups (A+C+W-135+Y) polysaccharide,meningitidis groups polysaccharide,,
Mentha arvensis leaf oil,mentha arvensis,,
Mentha piperita oil,mentha piperita,,
Mentha Piperita Oil,mentha piperita,,
Menthol crystals 5%,menthol crystals,,
Menthol oil,menthol,,
Menthol Oil,menthol,,
Methyl p-Hydroxybenzoate,methyl p hydroxybenzoate,,
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,methylene bis benzotriazolyl tetramethylbutylphenol,,
Micronized alpha-D-glucosamine,micronized alpha d glucosamine,,
Micronized alpha-D-glucosamine sulfate,micronized alpha d glucosamine sulfate,,
Micronized branched-chain amino acids,micronized branched chain amino acids,,
Micronized L-isoleucine,micronized l isoleucine,,
Micronized L-leucine,micronized l leucine,,
Micronized L-valine,micronized l valine,,
Milk formula stage 1,milk formula stage,,
Milk formula stage 2,milk formula stage,,
Milk formula stage 3,milk formula stage,,
Milk powder,milk,,
Mineral oil,mineral,,
Mineral Oil,mineral,,
Mink oil,mink,,
Mint leaves,mint,,
Mint Oil,mint,,
Molecule Regen 7,molecule regen,,
Moringa Oil,moringa,,
Mumps-Measles-Rubella Vaccine,mumps measles rubella vaccine,,
Mustard oil,mustard,,
Myo-inositol,myo inositol,,
Myo-Inositol,myo inositol,,
MYO-INOSITOL,myo inositol,,
Myrrh oil,myrrh,,
Myrrh Oil,myrrh,,
N-Acetyl-Cysteine,n acetylcysteine,,
N-acetyl-L-cysteine,n acetylcysteine,,
N-acetylcysteine,n acetylcysteine,,
N-Acetylcysteine,n acetylcysteine,,
N-butane,n butane,,
N-butyl-cyanoacrylate,n butyl cyanoacrylate,,
N-pentane,n pentane,,
Natural flavour (chocolate),natural flavour,,
Natural hair oil,natural hair,,
Natural leukocyte-interferons,natural leukocyte interferons,,
Natural oil,natural,,
Natural Oil,natural,,
Natural polysaccharide-phosphate buffer,natural polysaccharide phosphate buffer,,
Natural vitamin & minerals,natural vitamin minerals,,
Neem oil,neem,,
Neem Seed Oil,neem,,
Neospore-P.R.,neospore p r,,
Nettle leaves,nettle,,
Niaouli oil,niaouli,,
Nigella oil,nigella,,
Nigella sativa oil,nigella sativa,,
Nigella Sativa Oil,nigella sativa,,
Nigella sativa seed oil,nigella sativa,,
Nigella seed oil,nigella,,
Non-fat dry milk,non fat dry milk,,
Norethisterone-Estradiol,norethisterone estradiol,,
Nutri-protective complex,nutri protective complex,,
Nutritive Powder,nutritive,,
Nutritive Powder Formula,nutritive formula,,
O-Methylated Flavone,o methylated flavone,,
O.c.cum,o c cum,,
Olea europaea fruit oil,olea europaea,,
Olea Europaea Fruit Oil,olea europaea,,
Oligo-elements,oligo elements,,
Olive leaf,olive,,
Olive leaves,olive,,
Olive oil,olive,,
Olive Oil,olive,,
Omega-3-acid ethyl esters,omega acid ethyl esters,,
Omega-3 fish oil,omega fish,,
Omega-3 Flaxseed Oil,omega flaxseed,,
Omega-Hydroxy Acid,omega hydroxy acid,,
Omega 3,omega,,
Omega 3-6,omega,,
Omega 3-6-9,omega,,
Omega 3 & 6,omega,,
Omega 3 6 9,omega,,
Omega 3 fatty acids,omega fatty acid,,
Omega 3 Fatty Acids,omega fatty acid,,
Omega 6,omega,,
Omega oil,omega,,
Onasemnogene abeparvovec-xioi,onasemnogene abeparvovec xioi,,
Onion oil,onion,,
Onion Oil,onion,,
Orange flavor powder,orange flavor,,
Orange oil,orange,,
Organic ashwagandha root powder,organic ashwagandha,,
Oryza sativa oil,oryza sativa,,
Osmotic Gel,osmotic,,
Ostrich oil,ostrich,,
Paclitaxel protein-bound,paclitaxel protein bound,,
Palm lemon leaves,palm lemon,,
Palm oil,palm,,
Panthenol 2%,panthenol,,
Panthenol 2.5%,panthenol,,
Panthenol 5%,panthenol,,
Panthenol 7%,panthenol,,
Para-aminobenzoic acid,para aminobenzoic acid,,
Para-Aminobenzoic Acid,para aminobenzoic acid,,
Paracetamol (acetaminophen),paracetamol,,
Paracetamol (Acetaminophen),paracetamol,,
Paraffin oil,paraffin,,
Paraffin Oil,paraffin,,
Parsley oil,parsley,,
Parsley Oil,parsley,,
Parsley seed,parsley,,
Parsley Seed Oil,parsley,,
Passion Flower,passion,,
Passion Fruit,passion,,
Peanut oil,peanut,,
Peanut Oil,peanut,,
PEG-6-Stearate,peg stearate,,
PEG 12 Dimethicone,peg dimethicone,,
PEG 400,peg,,
PEG 7,peg,,
Peginterferon Alfa-2a,peginterferon alfa a,,
Peginterferon Alfa-2b,peginterferon alfa b,,
Pep2dia,pep dia,,
Pepper mint oil,peppermint,,
Peppermint Essential Oil,peppermint essential,,
Peppermint leaves,peppermint,,
Peppermint oil,peppermint,,
Peppermint Oil,peppermint,,
Persea gratissima oil,persea gratissima,,
Persea Gratissima Oil,persea gratissima,,
Pido-zinc,pido zinc,,
Pine oil,pine,,
Pine Oil,pine,,
Pineapple powder,pineapple,,
Pinene (alpha & beta),pinene,,
Pistachio Oil,pistachio,,
Plantago ovata seed husks,plantago ovata husks,,
Plantago Seed,plantago,,
Plum oil,plum,,
Poliquaternium 7,polyquaternium,,
Pollen grain-bee wax,pollen grain bee wax,,
Pollen grains-allergen,pollen grains allergen,,
Pollen grains-royal jelly,pollen grains royal jelly,,
Pollen grains-vitamins-royal jelly,pollen grains vitamins royal jelly,,
Pollen grains+ginseng,pollen grains ginseng,,
Pollen grains+nigella sativa+ginseng,pollen grains nigella sativa ginseng,,
Poloxamer 407,poloxamer,,
Poly(0-2 hydroxyethyl) starch,poly starch,,
Polyethylene glycol 400,polyethylene glycol,,
Polyquaternium 7,polyquaternium,,
Polysorbate 20,polysorbate,,
Polysorbate 80,polysorbate,,
Pomegranate oil,pomegranate,,
Pomegranate Oil,pomegranate,,
Pomegranate seed oil,pomegranate,,
Potato powder,potato,,
Povidone-iodine,povidone iodine,,
Povidone-sodium hyaluronate,povidone sodium hyaluronate,,
Prednisolone acetate 1%,prednisolone acetate,,
Pregabalin 75mg,pregabalin,,
Primrose oil,primrose,,
Primrose Oil,primrose,,
Primula root,primula,,
Pro-anthocyanidin,pro anthocyanidin,,
Pro-vitamin B5,pro vitamin b,,
Propionyl-L-carnitine,propionyl l carnitine,,
Propyl p-Hydroxybenzoate,propyl p hydroxybenzoate,,
Prunus amygdalus dulcis kernel oil,prunus amygdalus dulcis,,
Prunus amygdalus dulcis oil,prunus amygdalus dulcis,,
Prunus Armeniaca Seed Powder,prunus armeniaca,,
Psyllium husk powder,psyllium husk,,
Psyllium husk seeds powder,psyllium husk seeds,,
Psyllium husks powder,psyllium husk,,
Psyllium powder,psyllium,,
Pumpkin oil,pumpkin,,
Pumpkin Oil,pumpkin,,
Pumpkin seed oil,pumpkin,,
Pumpkin Seed Oil,pumpkin,,
Pumpkin seeds powder,pumpkin seeds,,
Pyridoxine HCl (Vitamin B6),pyridoxine hcl,,
R-Lipoic Acid,r lipoic acid,,
Rabies Anti-Serum Vaccine,rabies anti serum vaccine,,
Rape oil,rape,,
Rapeseed oil,rapeseed,,
Raspberry ketone powder,raspberry ketone,,
Recombinant Human Interferon Alfa-2b,recombinant human interferon alfa b,,
Rhizome Torment-Fructis Ros.Canin-Barbeque,rhizome torment fructis ros canin barbeque,,
Rice Oil,rice,,
Ricinus communis seed oil,ricinus communis,,
Rocket oil,rocket,,
Rocket Oil,rocket,,
Rosa Canina Flower,rosa canina,,
Rosa canina flower oil,rosa canina,,
Rosa Canina Flower Oil,rosa canina,,
Rosa moschata seed oil,rosa moschata,,
Rosa Moschata Seed Oil,rosa moschata,,
Rose hip,rosehip,,
Rose hip oil,rosehip,,
Rose oil,rose,,
Rose Oil,rose,,
Rosehip Seed Oil,rosehip,,
Rosemary ext,rosemary,,
Rosemary oil,rosemary,,
Rosemary Oil,rosemary,,
Rosmarinus officinalis leaf oil,rosmarinus officinalis,,
Rotana Oil Spray,rotana spray,,
Safflower oil,safflower,,
Safflower Oil,safflower,,
Safflower seed oil,safflower,,
Saga Oil,saga,,
Sage leaves,sage,,
Sage oil,sage,,
Sage Oil,sage,,
Salvadora persica powder,salvadora persica,,
Salvia sclarea seed oil,salvia sclarea,,
Sandalwood oil,sandalwood,,
Sanzyme 2000,sanzyme,,
Sanzyme 3500,sanzyme,,
Saw palmetto oil,saw palmetto,,
Saw Palmetto Oil,saw palmetto,,
SCB Macadamia Oil,scb macadamia,,
Sea buckthorn oil,sea buckthorn,,
Sea fish oil,sea fish,,
Sea Water Pearl Powder,sea water pearl,,
Selenium 200 microgram,selenium microgram,,
Senna ext.,senna,,
Serenoa Repens (Lipidosterolic),serenoa repens,,
Sesame oil,sesame,,
Sesame Oil,sesame,,
Shark liver oil,shark liver,,
Shark Liver Oil,shark liver,,
Shark oil,shark,,
Shea Oil,shea,,
Silicon Gel,silicon,,
Silicon oil,silicon,,
Silicon Oil,silicon,,
Silicone elastomer gel,silicone elastomer,,
Silicone gel,silicone,,
Silicone Gel,silicone,,
Silicone oil,silicone,,
Silicone Oil,silicone,,
Skimmed Milk Powder,skimmed milk,,
Skin massage gel,skin massage,,
Snake oil,snake,,
Snake Oil,snake,,
Sodium C14-C16 olefin sulfonate,sodium c c olefin sulfonate,,
Sodium shale oil sulfate,sodium shale sulfate,,
Soy bean oil,soy bean,,
Soy beans oil,soybean,,
Soy lecithin powder,soy lecithin,,
Soya bean oil,soya bean,,
Soyabean oil,soyabean,,
Soyabean Oil,soyabean,,
Soybean oil,soybean,,
Soybean Oil,soybean,,
Spearmint essential oil,spearmint essential,,
Spearmint Oil,spearmint,,
St. John,st john s wort,,
St. John,st john s wort,,
St. John,st john s wort,,
Star anise oil,star anise,,
Star flower oil,star,,
Sterculia gum 62%,sterculia gum,,
Stevia powder,stevia,,
Stinging nettle powder,stinging nettle,,
Sunflower Flower Oil,sunflower,,
Sunflower oil,sunflower,,
Sunflower Oil,sunflower,,
Sunflower oil distillate,sunflower distillate,,
Sunflower seed oil,sunflower,,
Sunflower Seed Oil,sunflower,,
Sweet almond oil,sweet almond,,
Sweet Almond Oil,sweet almond,,
Sweet orange oil,sweet orange,,
Talc Powder,talc,,
Tamanu oil,tamanu,,
Tea Oil,tea,,
Tea tree oil,tea tree,,
Tea Tree Oil,tea tree,,
Terpene oil,terpene,,
Terpeneless dill seed oil,terpeneless dill,,
Terpentine oil,terpentine,,
Tetanus immune globulin (human),tetanus immune globulin,,
Thyme ext,thyme,,
Thyme Flower,thyme,,
Thyme leaf,thyme,,
Thyme leaf powder,thyme,,
Thyme leaves,thyme,,
Thyme liquid ext,thyme liquid,,
Thyme oil,thyme,,
Thyme Oil,thyme,,
Thyme vulgaris oil,thymus vulgaris,,
Thymol oil,thymol,,
Thymus oil,thymus,,
Thymus vulgaris leaf oil,thymus vulgaris,,
