Old Name,New Name,Approve (Y/N),Notes
Coconut extract,coconut,,
Coffee arabica fruit extract,coffee arabica,,
Coffee arabica seed extract,coffee arabica,,
Comfrey extract,comfrey,,
Commiphora Extract,commiphora,,
Commiphora Molmol Extract,commiphora molmol,,
Corticoadrenal Extract,corticoadrenal,,
Cranberry extract,cranberry,,
Cranberry Extract,cranberry,,
Crataegus Extract,crataegus,,
Crocus extract,crocus,,
Cucumber extract,cucumber,,
Cucumber Extract,cucumber,,
Curcuma extract,curcuma,,
Curcuma Longa Rhizomes Extract,curcuma longa rhizomes,,
Cynara Dried Extract,cynara dried,,
Cynara Dry Extract,cynara dry,,
Cynara extract,cynara,,
Deodorized Onion Extract,deodorized onion,,
Devil Claw Extract,devil claw,,
Dill seed extract,dill,,
Dried Ivy Leaf Extract,dried ivy,,
Dried Onions Extract,dried onions,,
Dry Extract of Chaste Tree Fruit,dry of chaste tree,,
Dry Yeast Extract,dry yeast,,
Earthworm extract,earthworm,,
Echinacea angustifolia extract,echinacea angustifolia,,
Echinacea extract,echinacea,,
Echinacea Purpurea Extract,echinacea purpurea,,
Echinacea Root Powder Extract,echinacea,,
Eclipta alba extract,eclipta alba,,
Elderberry Extract,elderberry,,
English ivy extract,english ivy,,
English ivy leaf extract,english ivy,,
Equlaptus extract,equlaptus,,
Eruca extract,eruca,,
Eruca leaves extract,eruca,,
Eruca Sativa Extract,eruca sativa,,
Ethanolamine Extract,ethanolamine,,
Eucalptus extract,eucalyptus,,
Eucalyptus extract,eucalyptus,,
Eucalyptus Extract,eucalyptus,,
Eugenia caryophyllus flower extract,eugenia caryophyllus,,
Eurica Extract,eurica,,
Fennel Extract,fennel,,
Fennel fruit extract,fennel,,
Fennel seed extract,fennel,,
Fenugreek extract,fenugreek,,
Fenugreek seed extract,fenugreek,,
Fenugreek seeds extract,fenugreek seeds,,
Fenugreek sprout seed extract,fenugreek sprout,,
Feverfew extract,feverfew,,
Flaxseed extract,flaxseed,,
Fo-ti extract,fo ti,,
Garcinia cambogia extract,garcinia cambogia,,
Garcinia cambogia fruit extract,garcinia cambogia,,
Garcinia extract,garcinia,,
Garlic extract,garlic,,
Garlic Extract,garlic,,
Garlic extract-oil,garlic,,
Gelsemium extract,gelsemium,,
Gentian extract,gentian,,
Geranium extract,geranium,,
Ginger extract,ginger,,
Ginger Extract,ginger,,
Ginger powder extract,ginger,,
Ginger root extract,ginger,,
Ginger Root Extract,ginger,,
Ginger root powder extract,ginger,,
Ginkgo biloba extract,ginkgo biloba,,
Ginkgo Biloba Extract,ginkgo biloba,,
Ginkgo biloba leaf extract,ginkgo biloba,,
Ginkgo Biloba Leaf Extract,ginkgo biloba,,
Ginkgo biloba leaves powder extract,ginkgo biloba,,
Ginkgo extract,ginkgo,,
Ginkgo Extract,ginkgo,,
Ginseng extract,ginseng,,
Ginseng Extract,ginseng,,
Ginseng root extract,ginseng,,
Glycyrrhiza glabra root extract,glycyrrhiza glabra,,
Golden Seal Root Extract,goldenseal,,
Grape (Vitis vinifera) leaf extract,grape,,
Grape extract,grape,,
Grape seed extract,grape,,
Grape Seed Extract,grape,,
Grape seeds extract,grapeseed,,
Grapefruit extract,grapefruit,,
Grapefruit Extract,grapefruit,,
Grapefruit seed extract,grapefruit,,
Grapefruit Seed Extract,grapefruit,,
Grapes seed extract,grape,,
Green apple extract,green apple,,
Green coffee bean extract,green coffee bean,,
Green coffee extract,green coffee,,
Green tea dry extract,green tea dry,,
Green tea extract,green tea,,
Green Tea Extract,green tea,,
Green tea leaf extract,green tea,,
Green Tea Leaf Extract,green tea,,
Grindelia extract,grindelia,,
Grindelia herb extract,grindelia herb,,
Grindelia herba extract,grindelia herba,,
Guarana extract,guarana,,
Guava extract,guava,,
Guava leaf extract,guava,,
Guava leaves extract,guava,,
Guava Leaves extract,guava,,
Gymnema sylvestre extract,gymnema sylvestre,,
Halfa bar extract,halfa bar,,
Hamamelis extract,hamamelis,,
Harpagophytum extract,harpagophytum,,
Hazel Extract,hazel,,
Helianthus annuus extract,helianthus annuus,,
Herbal extract,herbal,,
Hibiscus extract,hibiscus,,
Honey Extract,honey,,
Hops Flower Extract,hops,,
Hordeum vulgare extract,hordeum vulgare,,
Horsetail extract,horsetail,,
Horsetail Extract,horsetail,,
Humulus Lupulus Extract,humulus lupulus,,
Hypericum perforatum extract,hypericum perforatum,,
Ivy extract,ivy,,
Ivy Extract,ivy,,
Ivy leaf extract,ivy,,
Ivy Leaf Extract,ivy,,
Ivy leaf extract powder,ivy,,
Ivy leaf powder extract,ivy,,
Ivy leave extract,ivy leave,,
Ivy leaves extract,ivy,,
Ivyleaves dry extract,ivyleaves dry,,
Jojoba Extract,jojoba,,
Korean ginseng extract,korean ginseng,,
Lavender extract,lavender,,
Lavender Extract,lavender,,
Lavendula oil extract,lavendula,,
Lemon extract,lemon,,
Lemon Extract,lemon,,
Lepidium Meyenii Root Extract,lepidium meyenii,,
Licorice extract,licorice,,
Licorice Extract,licorice,,
Licorice liquid extract,licorice liquid,,
Licorice root dry extract powder,licorice dry,,
Licorice root extract,licorice,,
Licorice Root Extract,licorice,,
Lime Extract,lime,,
Liquorice extract,liquorice,,
Liquorice Extract,liquorice,,
Liquorice root extract,liquorice,,
Liquorice Root Extract,liquorice,,
Lupin extract,lupin,,
Lycopene extract,lycopene,,
Maca extract,maca,,
Maca Extract,maca,,
Maca root extract,maca,,
Mahayana extract,mahayana,,
Mallow extract,mallow,,
Mallow Glycolic Extract,mallow glycolic,,
Malt extract,malt,,
Malt Extract,malt,,
Malva sylvestris extract,malva sylvestris,,
Marigold extract,marigold,,
Marshmallow extract,marshmallow,,
Marshmallow root extract,marshmallow,,
Marshmallow Root Extract,marshmallow,,
Matricaria Flower Extract,matricaria,,
Melaleuca Alternifolia (Tea Tree) Extract,melaleuca alternifolia,,
Melaleuca alternifolia extract,melaleuca alternifolia,,
Melaleuca Alternifolia Extract,melaleuca alternifolia,,
Melaslow Extract,melaslow,,
Melissa Leaves Extract,melissa,,
Melon extract,melon,,
Melon Extract,melon,,
Melone extract,melone,,
Mentha piperita extract,mentha piperita,,
Mentha spicata oily extract,mentha spicata oily,,
Menthol Extract,menthol,,
Menthol oil extract,menthol,,
Milk thistle extract,milk thistle,,
Millet extract,millet,,
Mint extract,mint,,
Mistletoe extract,mistletoe,,
Morus alba extract,morus alba,,
Mucopolysaccharide compound extract,mucopolysaccharide compound,,
Mulberry extract,mulberry,,
Mulberry Extract,mulberry,,
Neem extract,neem,,
Neem Seed Extract,neem,,
Nettle extract,nettle,,
Nettle powder extract,nettle,,
Nettle root extract,nettle,,
Nettle Root Extract,nettle,,
Nigella sativa extract,nigella sativa,,
Noni Juice Powder Extract,noni juice,,
Oak bark extract,oak bark,,
Oak extract,oak,,
Oat Extract,oat,,
Oats extract,oat,,
Olive extract,olive,,
Olive Extract,olive,,
Olive leaf extract,olive,,
Olive leaves extract,olive,,
Onion bulb extract,onion,,
Onion extract,onion,,
Onion Extract,onion,,
Orange Peel Extract,orange peel,,
Ox bile extract,ox bile,,
Oya Protein Extract,oya protein,,
Panax ginseng extract,panax ginseng,,
Panax ginseng root extract,panax ginseng,,
Papaya extract,papaya,,
Papaya Extract,papaya,,
Parsley extract,parsley,,
Passion Extract,passion,,
Passion Flower Extract,passion,,
Peach leaf extract,peach,,
Pepper Fruit Extract,pepper,,
Peppermint extract,peppermint,,
Peppermint Extract,peppermint,,
Peppermint leaf extract,peppermint,,
Peppermint oil extract,peppermint,,
Pimpinella radix extract,pimpinella radix,,
Pimpinella root extract,pimpinella,,
Pine bark extract,pine bark,,
Pineapple extract,pineapple,,
Piper longum extract,piper longum,,
Plantago extract,plantago,,
Plantain extract,plantain,,
Polygonum multiflorum extract,polygonum multiflorum,,
Pomegranate extract,pomegranate,,
Pomegranate Extract,pomegranate,,
Pomegranate fruit extract,pomegranate,,
Potato protein extract,potato protein,,
Primula radix extract,primula radix,,
Primula root extract,primula,,
Primula root fluid extract,primula fluid,,
Primula root tincture extract,primula tincture,,
Propolis Dry Extract,propolis dry,,
Propolis extract,propolis,,
Propolis Extract,propolis,,
Pseudoalteromonas Ferment Extract,pseudoalteromonas ferment,,
Pumpkin extract,pumpkin,,
Pumpkin seed extract,pumpkin,,
Pygeum africanum extract,pygeum africanum,,
Pygeum Africanum Extract,pygeum africanum,,
Pygeum bark extract,pygeum bark,,
Quebracho cortex extract,quebracho cortex,,
Raspberry extract,raspberry,,
Red grape extract,red grape,,
Rhubarb extract,rhubarb,,
Rigenase (Wheat Extract),rigenase,,
Roots Extract of Pelargonium Sidoides,roots of pelargonium sidoides,,
Rose extract,rose,,
Rose Extract,rose,,
Rose Hip Extract,rosehip,,
Rosehip extract,rosehip,,
Rosehip Extract,rosehip,,
Rosemary extract,rosemary,,
Rosemary Extract,rosemary,,
Rosemary oil extract,rosemary,,
Rosmarinus Officinalis Extract,rosmarinus officinalis,,
Rosmarinus Officinalis Extract (Rosemary),rosmarinus officinalis,,
Rumex extract,rumex,,
Ruscus aculeatus extract,ruscus aculeatus,,
Ruscus extract,ruscus,,
Sabal extract,sabal,,
Sage extract,sage,,
Sage Extract,sage,,
Sage leaves extract,sage,,
Salix extract,salix,,
Salvia officinalis extract,salvia officinalis,,
Sambucus Nigra Extract,sambucus nigra,,
Saponaria leaf and root extract,saponaria and,,
Sarsa paria extract,sarsa paria,,
Saw palmetto extract,saw palmetto,,
Saw Palmetto Extract,saw palmetto,,
Seaweed extract,seaweed,,
Senega extract,senega,,
Senna extract,senna,,
Senna Extract,senna,,
Serenoa Repens Extract,serenoa repens,,
Serenoa Repens Purified Extract,serenoa repens purified,,
Shark Cartilage Extract,shark cartilage,,
Siberian ginseng extract,siberian ginseng,,
Silybum marianum fruit extract,silybum marianum,,
Sophora angustifolia extract,sophora angustifolia,,
Soy Extract,soy,,
Soybean extract,soybean,,
Spanish fly extract,spanish fly,,
Spearmint extract,spearmint,,
Star anise seed extract,star anise,,
Stevia extract,stevia,,
Stevia Leaf Extract,stevia,,
Stinging Nettle Root Extract,stinging nettle,,
Sunflower extract,sunflower,,
Suprarenal cortex extract,suprarenal cortex,,
Tamarind extract,tamarind,,
Tea extract,tea,,
Tea tree extract,tea tree,,
Tea Tree Extract,tea tree,,
Thyme extract,thyme,,
Thyme Extract,thyme,,
Thyme extract powder,thyme,,
Thyme fluid extract,thyme fluid,,
Thyme herb extract,thyme herb,,
Thyme leaf extract,thyme,,
Thyme Leaf Extract,thyme,,
Thyme Leaves and Flower extract,thyme and,,
Thyme liquid extract,thyme liquid,,
Thyme oil extract,thyme,,
Thyme plant extract,thyme plant,,
Thymelaea Hirsuta Leaf Extract,thymelaea hirsuta,,
Thymol extract,thymol,,
Thymus extract,thymus,,
Thymus vulgaris extract,thymus vulgaris,,
Tilia extract,tilia,,
Tilia flower extract,tilia,,
Tobacco leaf extract,tobacco,,
Tomato extract,tomato,,
Tribulus terrestris extract,tribulus terrestris,,
Trigonella seed extract,trigonella,,
Turmeric extract,turmeric,,
Turmeric Extract,turmeric,,
Turmeric longa leaf extract,turmeric longa,,
Turmeric Root Extract,turmeric,,
Ulmus Fulva Bark Extract,ulmus fulva bark,,
Uva ursi extract,uva ursi,,
Vaccinium oxycoccus fruit flesh extract,vaccinium oxycoccus flesh,,
Valerian extract,valeriana,,
Valerian Extract,valeriana,,
Valerian root extract,valeriana,,
Valeriana Extract,valeriana,,
Vitex extract,vitex,,
Vitis Vinifera Extract,vitis vinifera,,
Vitis vinifera seed extract,vitis vinifera,,
Watercress extract,watercress,,
Wheat Bran Extract,wheat bran,,
Wheat Germ Extract,wheatgerm,,
White Willow Extract,white willow,,
Willow Bark Extract,willow bark,,
Witch Hazel Extract,witch hazel,,
Wormwood extract,wormwood,,
Yarrow extract,yarrow,,
Yeast Extract,yeast,,
